full_classification	GM1a_eukulele_ALL.txt	GM4c_eukulele_ALL.txt	GM4a_eukulele_ALL.txt	GM1c_eukulele_ALL.txt	GM4b_eukulele_ALL.txt	GM1b_eukulele_ALL.txt
 Archaea;  Euryarchaeota;  Methanomada group	514.2616	110.29839	218.37798	338.11764	106.84418	93.06967
 Archaea;  Euryarchaeota;  Methanomada group; Methanococci	4806.454369999999	2760.1648800000007	6282.144760000004	3019.2669399999986	7752.984700000001	2134.3946799999994
 Archaea;  Euryarchaeota;  Methanomada group; Methanococci; Methanococcales	1528.6913799999988	3301.9772000000007	2375.26018	528.64077	9121.706059999997	491.77389
 Archaea;  Euryarchaeota;  Methanomada group; Methanococci; Methanococcales; Methanococcaceae	331.57069	601.1983	1185.0118199999995	158.18336	545.2362199999999	167.55589999999998
 Archaea;  Euryarchaeota;  Stenosarchaea group	609.8290800000001	69.05865000000001	220.21575	152.71552	101.83985	52.82253
 Archaea;  Euryarchaeota;  Stenosarchaea group; Halobacteria	3358.69397	2720.95692	3484.2668700000004	2186.308699999999	3477.7581100000007	1662.63667
 Archaea;  Euryarchaeota;  Stenosarchaea group; Halobacteria; Haloferacales	115.71506	86.78121999999999	194.09678	88.59825000000001	241.02005	49.74391
 Archaea;  Euryarchaeota;  Stenosarchaea group; Halobacteria; Haloferacales; Halorubraceae	6.10133	12.33159	19.4605	8.05671	25.13939	
 Bacteria;  FCB group	10.85026			14.29119		9.45899
 Bacteria;  FCB group;  Bacteroidetes/Chlorobi group	22419.236679999995	27138.342120000005	26309.20801	29067.49613000001	20883.05362000001	22015.697140000004
 Bacteria;  FCB group;  Bacteroidetes/Chlorobi group; Flavobacteriia	184656.1353300003	267930.7901000003	245239.9892599997	230323.67747000008	217441.99725999945	161184.64286000008
 Bacteria;  FCB group;  Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales	102934.41204000002	153235.43676000004	142712.46846	133198.20114000005	126215.18473000015	91854.26801000006
 Bacteria;  FCB group;  Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae	18629.40549	20354.45534999999	25355.44748000001	22240.84477	15500.36932	15541.576860000005
 Bacteria;  FCB group;  Bacteroidetes/Chlorobi group; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Flavivirga	1.20606	4.86164	15.82746	0.0	179.28358	2.67586
 Bacteria;  Proteobacteria;  Alphaproteobacteria	2299.63934	1689.44177	1793.2144999999996	1870.64112	3268.685249999998	1051.2752200000002
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria	35040.964779999995	28103.90176000003	34612.355129999974	30911.03528000002	29593.882450000005	19924.92069999999
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Rhizobiales	2456.079230000001	1720.738079999999	1602.3195700000012	1462.51372	3120.898619999999	988.2387300000004
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae	8.43167	186.94928	142.59738000000002	46.151790000000005	72.95305999999998	8.383420000000001
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Devosia	14.79918	4.94299	8.25606	7.54589	19.39696	
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Rhizobiales; Rhodobiaceae	56.14471	106.44895	89.7083	39.86435	68.17998999999999	76.78062999999999
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Rhizobiales; Unclassified	39.26896	212.75366	1217.2989100000002	102.68986	514.5233499999999	284.11378
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales	2919.7447699999966	2464.65207	3182.850699999995	2368.1861300000014	2346.677290000002	1591.9931
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae	212.04806	122.02031	214.79125	409.4291099999999	323.53345	112.66429999999998
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Rhodobacterales; Rhodobacteraceae; Phaeobacter	0.90476	1.96222	7.88056			
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Sphingomonadales	374.5750900000001	928.60431	993.1444500000002	319.8495500000001	930.71734	874.6323
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae	6.27778	10.349899999999998	29.924930000000003	3.95714	16.66924	
 Bacteria;  Proteobacteria;  Alphaproteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae	308.54276	110.67006	445.14025	247.43848	83.05289	737.56518
 Bacteria;  Proteobacteria;  Betaproteobacteria	192.19729	1201.9942099999998	4610.77491	222.14966	914.1713	104.56665
 Bacteria;  Proteobacteria;  Betaproteobacteria; Betaproteobacteria	4060.185829999999	5543.568600000003	5586.975910000002	4082.29491	5733.052659999999	3890.5819899999983
 Bacteria;  Proteobacteria;  Betaproteobacteria; Betaproteobacteria; Burkholderiales	2162.81751	2585.60309	3248.747670000002	2416.712529999999	3779.4893199999983	1452.85776
 Bacteria;  Proteobacteria;  Betaproteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae	521.39352	1021.0367899999992	764.7860200000001	1133.91773	1597.2775400000005	997.7004800000002
 Bacteria;  Proteobacteria;  Betaproteobacteria; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella	48.45536	165.53009	115.34069	107.71156	236.55371	89.14947000000001
 Bacteria;  Proteobacteria;  Gammaproteobacteria	7280.915970000005	8899.12098	9433.95117	5788.3604300000015	8342.268339999997	4896.138940000001
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria	80402.59325000008	78215.46476000012	76544.90127999983	84308.35100999998	80287.04982999996	53840.988620000026
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales	6481.074630000002	6989.621840000002	7297.94052	7279.464860000001	5577.414110000003	4205.19897
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae	386.0056	915.1191	515.54199	359.40636	312.23004999999995	310.56812
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae	4.35286	20.2131	47.29736	1.57862	7.20312	
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Colwelliaceae; Colwellia	4.08781		5.4981			
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Idiomarinaceae	53.64692	19.751060000000003	29.66562	8.45353	41.94127	11.35006
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Alteromonadales; Pseudoalteromonadaceae	59.86321	348.92347	163.14266	27.82949	11.81302	2.97701
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales	1402.86342	1199.9182499999995	1284.7443500000002	1662.18404	724.1744400000002	1231.92366
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae	119.35729	171.74039999999997	132.73810000000003	20.670350000000003	178.41266000000002	32.47491
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Cellvibrionales; Microbulbiferaceae; Microbulbifer	41.5486		2.53623	1.29565	2.43333	3.22059
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Enterobacterales	9237.038330000005	8759.811029999999	8773.820799999998	9010.76456	8707.27595	5408.222889999999
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Enterobacterales; Morganellaceae	2478.82225	4979.455970000001	5132.376010000001	2789.2622700000006	4863.9589700000015	2226.7663299999995
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Oceanospirillales	446.47414	468.3309800000001	329.5046799999999	908.67327	440.4345300000001	241.65766
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Oceanospirillales; Halomonadaceae	158.35479999999998	57.77428	45.85856999999999	20.92697	53.24199	10.31718
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Thiotrichales	428.14462	221.20204000000004	223.45042	530.40678	330.47252000000003	285.9771
 Bacteria;  Proteobacteria;  Gammaproteobacteria; Gammaproteobacteria; Thiotrichales; Piscirickettsiaceae	956.56326	258.80583	341.49118	265.1341	340.06793000000005	191.52407
