"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Anth_synt_I_N",198.795650553492,-6.73835304556854,0.830713219584548,-8.11152740405225,4.99873839561529e-16,1.25018447274339e-12
"UNC45-central",1086.7238840792,-27.4058540627906,3.45616395704502,-7.92955843629083,2.1992645542138e-15,2.75018032504436e-12
"SAD_SRA",386.009368023669,-25.9895356512152,3.33362993459676,-7.79616698947086,6.38159260691429e-15,5.32012103663088e-12
"RED_C",945.627566039137,-27.137833950723,3.54331162110843,-7.65889000252076,1.87546940133121e-14,1.17263724318234e-11
"Hom_end_hint",122.496761400921,-6.85003310424596,0.902179174160483,-7.59276350024397,3.1315380075869e-14,1.34782293454934e-11
"Apocytochr_F_C",366.916149319985,25.041902960843,3.29993152824791,7.5886128989285,3.23348165025832e-14,1.34782293454934e-11
"Peptidase_C54",228.705053476923,-11.3742105710096,1.59418176100843,-7.13482668614565,9.69091883085261e-13,3.46242685656606e-10
"PsiF_repeat",163.29554757094,-10.8877923637324,1.53374061444595,-7.09884856747147,1.25800557508759e-12,3.50149888035661e-10
"Peptidase_A4",750.561074036305,-13.0886016170028,1.84382191415997,-7.09862569507743,1.2600355826953e-12,3.50149888035661e-10
"Penicil_amidase",82.9780815822007,-9.9112153146183,1.40982526424519,-7.03010193247222,2.0638270922725e-12,5.16163155777353e-10
"DUF1206",239.438118751492,-11.4402768587531,1.64290689586645,-6.963435899829,3.32072293109288e-12,7.55011640969391e-10
"zf-UBP",128.590920459482,-10.5431591593797,1.52627545908649,-6.90776956191774,4.92332846969738e-12,1.02610370855943e-09
"Mod_r",352.897452885729,-5.74694515116975,0.83519652240622,-6.88094956934527,5.94548983147366e-12,1.1438207745012e-09
"BROMI",89.9082416513071,-10.0286708401213,1.49272086454135,-6.7183832411981,1.83751891849512e-11,3.28259629654021e-09
"DsrD",297.541827194713,11.4981421133917,1.72375812189652,6.67039184171686,2.55121335255435e-11,4.25372306315895e-09
"Apc13p",154.976978981349,-10.8119713200472,1.64302646305605,-6.58052171596602,4.68800352629418e-11,7.32793551203858e-09
"HxxPF_rpt",167.84179662162,10.67190576408,1.63180080036262,6.53995620158328,6.15368521480808e-11,9.05315689543236e-09
"TFIID_20kDa",585.690503270335,-12.7308792933822,1.94949926852701,-6.530332941854,6.56236477207507e-11,9.11804127497764e-09
"DUF2269",87.8309016677012,9.73726131491333,1.50738181826198,6.45971790089683,1.04898341257874e-10,1.23590660849706e-08
"Glyco_hydro_48",737.734096113033,-13.0636265480398,2.02315723339519,-6.45704957202805,1.06763933768413e-10,1.23590660849706e-08
"Sec8_exocyst",179.96216858643,-11.0279462112089,1.70802676073488,-6.45654182049477,1.07122589086309e-10,1.23590660849706e-08
"OKR_DC_1_N",56.5477598536624,9.1027514692835,1.41173987339793,6.44789570714185,1.1341376150306e-10,1.23590660849706e-08
"DUF4004",160.036170950172,10.6032856894546,1.64453992204144,6.44756964993121,1.13657944803808e-10,1.23590660849706e-08
