kegg,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K16300,13817.5173,16.03103523,1.100385708,14.56856002,4.45E-48,3.04E-44
K03098,4131.666899,14.31173019,1.181903003,12.10905645,9.46E-34,2.75E-30
K12240,2470.274247,-8.649363561,0.715470059,-12.08906432,1.21E-33,2.75E-30
K12185,1631.780525,-7.352756064,0.68486261,-10.73610379,6.89E-27,1.18E-23
K14800,2102.214762,15.17914463,1.437113657,10.56224367,4.46E-26,6.09E-23
K11837,2821.063231,-14.16238411,1.409410833,-10.04844278,9.33E-24,1.06E-20
K16362,2153.157914,-9.294939296,0.939676029,-9.891642454,4.53E-23,4.42E-20
K01225,5106.264083,-9.950343789,1.026298339,-9.695371618,3.15E-22,2.69E-19
K19478,2078.278892,-11.03908423,1.143041163,-9.657643649,4.56E-22,3.46E-19
K07733,2633.876299,-5.990895345,0.635263609,-9.430565924,4.08E-21,2.79E-18
K15924,3975.848181,10.45371088,1.110373376,9.414590721,4.75E-21,2.95E-18
K13164,1554.918861,-11.51550343,1.263152395,-9.116479906,7.76E-20,4.42E-17
K16149,1291.34102,13.51422634,1.503122848,8.990766361,2.46E-19,1.29E-16
K19310,19662.86905,-2.63747228,0.294532093,-8.954787413,3.40E-19,1.66E-16
K12428,1431.198603,-13.18337006,1.489824102,-8.84894401,8.84E-19,4.02E-16
K05088,5622.424576,5.403674253,0.614387852,8.795216629,1.43E-18,6.10E-16
K01404,1889.984099,-13.58450638,1.559153862,-8.712742667,2.97E-18,1.19E-15
K08267,1904.948609,-13.59590442,1.566587489,-8.678675469,4.00E-18,1.52E-15
K01099,2234.789685,-8.760601124,1.015034689,-8.630839146,6.09E-18,2.19E-15
K02535,651.9982968,8.896097588,1.0420305,8.537271786,1.37E-17,4.69E-15
K15043,1870.815229,-7.908563394,0.935954476,-8.449730829,2.92E-17,9.50E-15
K15029,1002.821211,-10.37015328,1.239518989,-8.36627221,5.95E-17,1.85E-14
K03934,1404.414234,-13.15611647,1.603549817,-8.204370281,2.32E-16,6.88E-14
K09476,1757.883652,14.9210744,1.836753643,8.123612254,4.53E-16,1.29E-13
K11848,1962.71925,-10.41705307,1.337482923,-7.788550338,6.78E-15,1.85E-12
K17699,2716.361254,-14.10779192,1.817202559,-7.763466903,8.26E-15,2.17E-12
K00510,697.1862822,-25.19224862,3.247778724,-7.756762625,8.71E-15,2.20E-12
K02574,22965.23084,-2.928059312,0.379697628,-7.711555456,1.24E-14,3.03E-12
K10422,1030.342414,-8.373616948,1.091587113,-7.671047822,1.71E-14,4.01E-12
K12839,1297.521519,-8.327229029,1.086456039,-7.664579816,1.79E-14,4.01E-12
K09403,1239.955185,-11.19605105,1.461111296,-7.662695567,1.82E-14,4.01E-12
K10493,643.6000716,-25.11303779,3.293738307,-7.624478768,2.45E-14,5.23E-12
K11797,851.4314755,-12.43410648,1.645448873,-7.556665347,4.14E-14,8.56E-12
